area_id,area_name,LFPR_W,UNEMP_W,LFPR_T,UNEMP_T
47130,Gyeongju-si,0.51,0.017391304,0.62,0.017391304
47150,Gimcheon-si,0.574,0.016129032,0.642,0.016393443
47170,Andong-si,0.554,0.013888889,0.622,0.021276596
47190,Gumi-si,0.519,0.01744186,0.632,0.03125
47210,Yeongju-si,0.506,0,0.591,0.010869565
47230,Yeongcheon-si,0.597,0.022727273,0.671,0.011111111
47250,Sangju-si,0.583,0.022727273,0.665,0.011764706
47280,Mungyeong-si,0.548,0,0.63,0.032786885
47290,Gyeongsan-si,0.509,0.015625,0.596,0.0234375
47720,Gunwi-gun,0.68,0,0.745,0
47730,Uiseong-gun,0.635,0,0.716,0
47750,Cheongsong-gun,0.728,0,0.779,0
47760,Yeongyang-gun,0.649,0,0.725,0
47770,Yeongdeok-gun,0.553,0,0.632,0
47820,Cheongdo-gun,0.633,0,0.705,0
47830,Goryeong-gun,0.601,0,0.696,0
47840,Seongju-gun,0.594,0,0.697,0
47850,Chilgok-gun,0.484,0.021276596,0.624,0.020408163
47900,Yecheon-gun,0.605,0,0.691,0
47920,Bonghwa-gun,0.665,0,0.735,0.037037037
47930,Uljin-gun,0.546,0,0.64,0
47940,Ulleung-gun,0.757,0,0.838,0
48120,Changwon-si,0.51,0.020454545,0.615,0.022701476
48170,Jinju-si,0.528,0.025477707,0.593,0.022727273
48220,Tongyeong-si,0.461,0.018867925,0.585,0.027777778
48240,Sacheon-si,0.564,0.02173913,0.649,0.031914894
48250,Gimhae-si,0.509,0.026200873,0.623,0.025806452
48270,Miryang-si,0.55,0,0.616,0.010989011
48310,Geoje-si,0.442,0.021276596,0.601,0.024752475
48330,Yangsan-si,0.479,0.013245033,0.59,0.02
48720,Uiryeong-gun,0.621,0,0.692,0
48730,Haman-gun,0.53,0,0.639,0.017857143
48740,Changnyeong-gun,0.603,0,0.674,0
48820,Goseong-gun,0.62,0,0.683,0.022222222
48840,Namhae-gun,0.619,0,0.672,0.026315789
48850,Hadong-gun,0.658,0,0.718,0.027777778
48860,Sancheong-gun,0.683,0,0.735,0
48870,Hamyang-gun,0.616,0,0.683,0
48880,Geochang-gun,0.626,0,0.676,0.018867925
48890,Hapcheon-gun,0.594,0.05,0.671,0
50110,Jeju-si,0.612,0.014285714,0.675,0.021634615
50130,Seogwipo-si,0.676,0.013333333,0.726,0.006622517
