area_id,area_name,GRDP
43150,Cheongju-si,3264
43151,Cheongju-si,34817
43720,Boeun-gun,1110
43721,Boeun-gun,1167
43730,Okcheon-gun,1484
43731,Okcheon-gun,1432
43740,Yeongdong-gun,1078
43741,Yeongdong-gun,1129
43745,Jincheon-gun,1104
43746,Jincheon-gun,7936
43750,Goesan-gun,7614
43751,Goesan-gun,1498
43760,Eumseong-gun,1377
43761,Eumseong-gun,8284
43770,Danyang-gun,8168
43771,Danyang-gun,1165
43800,Jeungpyeong-gun,1159
43801,Jeungpyeong-gun,1187
44130,Cheonan-si,24152
44131,Cheonan-si,26111
44150,Gongju-si,3712
44151,Gongju-si,3762
44180,Boryeong-si,4234
44181,Boryeong-si,4190
44200,Asan-si,28971
44201,Asan-si,29923
44210,Seosan-si,18138
44211,Seosan-si,15843
44230,Nonsan-si,4080
44231,Nonsan-si,4439
44250,Gyeryong-si,1507
44251,Gyeryong-si,1719
44270,Dangjin-si,11384
44271,Dangjin-si,11733
44710,Geumsan-gun,2279
44711,Geumsan-gun,2359
44760,Buyeo-gun,1925
44761,Buyeo-gun,1980
44770,Seocheon-gun,2362
44771,Seocheon-gun,2292
44790,Cheongyang-gun,1188
44791,Cheongyang-gun,1248
44800,Hongseong-gun,3349
44801,Hongseong-gun,3512
44810,Yesan-gun,3323
44811,Yesan-gun,3537
44825,Taean-gun,2876
44826,Taean-gun,2876
45110,Jeonju-si,15790
45111,Jeonju-si,15656
45130,Gunsan-si,9218
45131,Gunsan-si,9357
45140,Iksan-si,7881
45141,Iksan-si,8221
45180,Jeongeup-si,3056
45181,Jeongeup-si,3236
45190,Namwon_si,1763
45191,Namwon_si,1782
45210,Gimje-si,2928
45211,Gimje-si,3088
45710,Wanju-gun,4829
45711,Wanju-gun,4781
45720,Jinan-gun,626
45721,Jinan-gun,670
45730,Muju-gun,691
45731,Muju-gun,745
45740,Jangsu-gun,526
45741,Jangsu-gun,553
45750,Imsil-gun,744
45751,Imsil-gun,789
45770,Sunchang-gun,761
45771,Sunchang-gun,809
45790,Gochang-gun,1697
45791,Gochang-gun,1583
45800,Buan-gun,1481
45801,Buan-gun,1545
46110,Mokpo-si,4530
46111,Mokpo-si,4444
46130,Yeosu-si,25870
46131,Yeosu-si,25733
46150,Suncheon-si,6125
46151,Suncheon-si,6309
46170,Naju-si,4903
46171,Naju-si,4976
46230,Gwangyang-si,10060
46231,Gwangyang-si,9979
46710,Damyang-gun,1424
46711,Damyang-gun,1550
46720,Gokseong-gun,998
46721,Gokseong-gun,1071
46730,Gurye-gun,575
46731,Gurye-gun,595
46770,Goheung-gun,1470
46771,Goheung-gun,1604
46780,Boseong-gun,996
46781,Boseong-gun,1008
46790,Hwasun-gun,1760
46791,Hwasun-gun,1783
46800,Jangheung-gun,1011
46801,Jangheung-gun,1034
46810,Gangjin-gun,892
46811,Gangjin-gun,953
46820,Haenam-gun,2119
46821,Haenam-gun,2322
46830,Yeongam-gun,3238
46831,Yeongam-gun,3371
46840,Muan-gun,3217
46841,Muan-gun,3358
46860,Hampyeong-gun,961
46861,Hampyeong-gun,1092
46870,Yeonggwang-gun,1871
46871,Yeonggwang-gun,2187
46880,Jangseong-gun,1857
46881,Jangseong-gun,1977
46890,Wando-gun,1125
46891,Wando-gun,1262
46900,Jindo-gun,889
46901,Jindo-gun,882
46910,Sinan-gun,1047
46911,Sinan-gun,1318
47110,Pohang-si,19296
47111,Pohang-si,18620
47130,Gyeongju-si,10550
47131,Gyeongju-si,9921
47150,Gimcheon-si,5457
47151,Gimcheon-si,5654
47170,Andong-si,5489
47171,Andong-si,6018
47190,Gumi-si,28938
47191,Gumi-si,27984
47210,Yeongju-si,3104
47211,Yeongju-si,3038
47230,Yeongcheon-si,3770
47231,Yeongcheon-si,3824
47250,Sangju-si,2388
47251,Sangju-si,2492
47280,Mungyeong-si,1637
47281,Mungyeong-si,1794
47290,Gyeongsan-si,8594
47291,Gyeongsan-si,7997
47720,Gunwi-gun,802
47721,Gunwi-gun,846
47730,Uiseong-gun,1350
47731,Uiseong-gun,1408
47750,Cheongsong-gun,804
47751,Cheongsong-gun,803
47760,Yeongyang-gun,408
47761,Yeongyang-gun,439
47770,Yeongdeok-gun,849
47771,Yeongdeok-gun,928
47820,Cheongdo-gun,1043
47821,Cheongdo-gun,1015
47830,Goryeong-gun,1474
47831,Goryeong-gun,1265
47840,Seongju-gun,1778
47841,Seongju-gun,2071
47850,Chilgok-gun,4275
47851,Chilgok-gun,4584
47900,Yecheon-gun,1163
47901,Yecheon-gun,1150
47920,Bonghwa-gun,1105
47921,Bonghwa-gun,1163
47930,Uljin-gun,2222
47931,Uljin-gun,2468
47940,Ulleung-gun,299
47941,Ulleung-gun,278
48120,Jinju-si,39860
48121,Jinju-si,38694
48170,Tongyeong-si,8643
48171,Tongyeong-si,8495
48220,Sacheon-si,3096
48221,Sacheon-si,3153
48240,Gimhae-si,4619
48241,Gimhae-si,4355
48250,Miryang-si,16058
48251,Miryang-si,15604
