DATAFLOW,LAST UPDATE,freq,sex,unit,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:DEMO_R_PJANGRP3(1.0),16/10/24 23:00:00,A,T,NR,TOTAL,SK010,2019,659598,
ESTAT:DEMO_R_PJANGRP3(1.0),16/10/24 23:00:00,A,T,NR,TOTAL,SK021,2019,563591,
ESTAT:DEMO_R_PJANGRP3(1.0),16/10/24 23:00:00,A,T,NR,TOTAL,SK022,2019,585882,
ESTAT:DEMO_R_PJANGRP3(1.0),16/10/24 23:00:00,A,T,NR,TOTAL,SK023,2019,676672,
ESTAT:DEMO_R_PJANGRP3(1.0),16/10/24 23:00:00,A,T,NR,TOTAL,SK031,2019,691368,
ESTAT:DEMO_R_PJANGRP3(1.0),16/10/24 23:00:00,A,T,NR,TOTAL,SK032,2019,647874,
ESTAT:DEMO_R_PJANGRP3(1.0),16/10/24 23:00:00,A,T,NR,TOTAL,SK041,2019,825022,
ESTAT:DEMO_R_PJANGRP3(1.0),16/10/24 23:00:00,A,T,NR,TOTAL,SK042,2019,800414,
