"행정구역별(1)",행정구역별(2),2016,2016,2018,2018,2021,2021
"행정구역별(1)",행정구역별(2),당해년가격,2015년 기준년가격,당해년가격,2015년 기준년가격,당해년가격,2015년 기준년가격
"울산광역시",남구,29288463,28835114,30758240,29285105,32333988,26943844
"울산광역시",동구,10329372,10494924,9408781,8924552,5645088,6014270
"울산광역시",북구,11176434,10628641,10724314,10639483,12437053,12848327
"울산광역시",울주군,19320196,19084806,18464057,18288719,22876447,19469950
"경기도",소계,407437529,399827962,479822189,451914662,529210829,498358681
"경기도",수원시,31802827,31188232,35441134,33040655,35684685,32667337
"경기도",성남시,39561196,38847300,42307526,39870181,50302710,45085311
"경기도",의정부시,6218546,6085900,7350069,6958749,7388564,6705270
"경기도",안양시,16244293,15962529,18138376,17243039,18439904,17210240
"경기도",부천시,16514511,16219163,17462247,16646782,17940553,16867923
"경기도",광명시,7366541,7284209,8116318,8208629,8074460,8151513
"경기도",평택시,26501831,26067338,33792725,31561750,35038757,33559149
"경기도",동두천시,1908968,1809450,1768912,1785847,1792963,1807913
"경기도",안산시,24371695,23837889,26110913,24712550,25717424,24052565
"경기도",고양시,18551297,18169579,21542187,20448764,22616950,20687032
"경기도",과천시,4733242,4623968,4783175,4470090,4650517,4142434
"경기도",구리시,3256155,3187108,3722338,3526272,3611223,3294987
"경기도",남양주시,9327965,9118680,10974908,10397099,13099866,11859368
"경기도",오산시,4887579,4753709,5649896,5374973,6031892,5451896
"경기도",시흥시,14930840,14527855,16210910,15371026,17801820,15937863
"경기도",군포시,6686773,6540181,7487177,7147930,7329556,6931450
"경기도",의왕시,2979250,2911636,3823873,3605950,4127736,3732389
"경기도",하남시,5178589,5043121,6491728,6122253,8087877,7275776
"경기도",용인시,30792811,30544564,30520652,28389064,35308886,32639617
"경기도",파주시,18985266,18798833,20964078,19620310,23932152,23564328
"경기도",이천시,14531375,14329850,24581118,22594042,28534355,28171212
"경기도",안성시,8109327,7861560,9363646,8891661,10237439,9409648
"경기도",김포시,11420305,11140979,13296398,12607690,15460054,13822006
"경기도",화성시,52930086,52237051,77734006,72300345,91041737,92303302
"경기도",광주시,8962932,8728995,9658391,9191959,10821756,9890097
"경기도",양주시,5976217,5759201,6614566,6233452,7636652,6850536
"경기도",포천시,6442729,6191207,6705276,6478913,7496139,6977261
"경기도",여주시,3597950,3531033,3880745,3801246,4663018,4383950
"경기도",연천군,1285750,1237742,1525901,1390058,1879532,1599315
"경기도",가평군,1601945,1556659,1831625,1713583,1985743,1757831
"경기도",양평군,1778738,1732441,1971375,1847468,2475909,2204696
"강원특별자치도",소계,43078659,42047331,46925797,44574334,51207169,46781331
"강원특별자치도",춘천시,7150569,6987051,7735704,7348975,8462409,7633304
"강원특별자치도",원주시,8511449,8323043,9534591,9129436,9573324,8937228
"강원특별자치도",강릉시,5019567,4897568,5326931,5036573,6321485,5733580
"강원특별자치도",동해시,2733073,2678541,3161368,3123913,3353305,3182434
"강원특별자치도",태백시,943292,914335,978447,900971,1020310,898824
"강원특별자치도",속초시,1547535,1516434,1740238,1640635,1959973,1756183
"강원특별자치도",삼척시,2337032,2279770,2383505,2306853,2805066,2658406
"강원특별자치도",홍천군,2240933,2181755,2488347,2360501,2529264,2312940
"강원특별자치도",횡성군,1557368,1503074,1667936,1628317,1834222,1711264
"강원특별자치도",영월군,1214014,1175676,1304256,1225845,1347674,1243386
"강원특별자치도",평창군,1691908,1623568,1498308,1352512,1457943,1268606
"강원특별자치도",정선군,1338379,1323039,1444017,1314620,1333917,1162989
"강원특별자치도",철원군,1619265,1595480,1778940,1752960,2201383,2156811
"강원특별자치도",화천군,1179800,1143411,1345860,1248020,1641923,1429900
"강원특별자치도",양구군,805195,787562,951402,913447,1104871,1025902
"강원특별자치도",인제군,1351260,1319039,1494404,1363561,1767017,1530877
"강원특별자치도",고성군,942735,923411,1051002,976332,1339210,1158144
"강원특별자치도",양양군,895285,874572,1040540,971789,1153874,1016996
"충청북도",소계,59671234,58380532,69636876,65830009,75289387,70448450
"충청북도",충주시,6624972,6436539,7618437,7319131,7846266,7207302
"충청북도",제천시,3023107,2947551,3174936,3039631,3421532,3250783
"충청북도",통합청주시,28986816,28454197,36038184,33948409,38651298,36639309
"충청북도",보은군,1077012,1043023,1173954,1117864,1220756,1084518
"충청북도",옥천군,1294795,1259112,1369744,1304419,1498401,1365675
"충청북도",영동군,982235,956332,1043652,979246,1263467,1146635
"충청북도",진천군,6565246,6432723,7398057,6899362,8105363,7682889
"충청북도",괴산군,1243145,1208671,1312967,1242290,1518123,1346904
"충청북도",음성군,7703800,7506657,8168771,7760057,9243774,8357613
"충청북도",단양군,1184616,1156723,1197263,1172473,1193247,1146820
"충청북도",증평군,985489,969265,1140911,1030014,1327159,1202633
"충청남도",소계,106869144,104503363,115534184,110873163,125416447,118487227
"충청남도",천안시,23705095,23239518,26165157,25018585,27894706,26338944
"충청남도",공주시,3479922,3359111,3628228,3367918,4080692,3534805
"충청남도",보령시,4109369,3910803,3901118,4206383,3852144,4129939
"충청남도",아산시,26324127,26193419,30218688,28195467,31554788,33139542
"충청남도",서산시,16369603,15970054,17793365,17039687,20114038,17154901
"충청남도",논산시,3663996,3555583,3790489,3574104,4401371,3901652
"충청남도",계룡시,1458295,1407625,1534152,1392019,1710883,1452103
"충청남도",당진시,11358068,11023966,11630730,11723086,13246669,11837833
"충청남도",금산군,2182095,2129353,2176282,2122195,2310879,2129409
"충청남도",부여군,1885057,1837885,2008286,1899179,2050972,1862250
"충청남도",서천군,2075817,2021999,2093446,1971924,2406858,2189919
"충청남도",청양군,1102221,1072977,1191448,1147599,1320352,1190442
"충청남도",홍성군,3170913,3076140,3270406,3080905,3917314,3356077
"충청남도",예산군,3014711,2873477,3254282,2934192,3897521,3183561
"충청남도",태안군,2969855,2831453,2878107,3226648,2657260,3099166
"전북특별자치도",소계,47879046,46664550,50595318,48350793,55955855,50636383
"전북특별자치도",전주시,13886080,13613759,15300987,14480522,16011015,14526585
"전북특별자치도",군산시,9399640,9171968,9098915,8863168,10507858,9564488
"전북특별자치도",익산시,7039090,6867210,7618352,7290970,8664971,7906303
"전북특별자치도",정읍시,2787689,2704196,2867266,2751279,3533350,3176797
"전북특별자치도",남원시,1606591,1565311,1644180,1549051,1911878,1650211
"전북특별자치도",김제시,2650473,2567381,2804379,2656453,3288996,2944384
"전북특별자치도",완주군,4641344,4467521,4792392,4624234,5233928,4840301
"전북특별자치도",진안군,556477,545579,630425,584888,658361,593541
"전북특별자치도",무주군,618911,603514,573333,593879,753161,709458
