"서울특별시","　부동산업",41061349,40447637,0.42,45513460,44051898,0.50,46172600,44239308,-0.06
"서울특별시","　사업서비스업",54536043,54090064,0.34,61750255,57733583,0.52,68408201,59009955,0.20
"서울특별시","　공공 행정, 국방 및 사회보장 행정",15613216,15060163,0.05,16478638,14767970,0.02,17567088,14802383,0.07
"서울특별시","　교육 서비스업",18298540,18083766,0.16,19051609,18211759,0.02,20329970,18626104,0.17
"서울특별시","　보건업 및 사회복지 서비스업",16363551,16118221,0.26,18905734,17922773,0.34,23092177,21092132,0.33
"서울특별시","　문화 및 기타서비스업",12040265,11694855,0.07,12698049,11676982,0.04,12030997,10631863,0.13
"부산광역시","지역내총생산(시장가격)",85536348,84114530,1.71,89979896,86889875,1.69,97805911,87629325,1.94
"부산광역시","순생산물세",6418735,6217141,0.25,6815267,6284848,-0.13,7587664,6473259,0.01
"부산광역시","총부가가치(기초가격)",79117613,77897389,1.46,83164629,80612184,1.82,90218247,81160478,1.93
"부산광역시","농업, 임업 및 어업",502713,509823,-0.03,422997,441594,-0.08,440666,483472,0.08
"부산광역시","광제조업",15162806,14637867,-0.38,14624398,14198014,-0.17,15044118,14084007,0.20
"부산광역시","　광업",17595,16999,0.00,12329,11632,-0.01,9382,9668,0.00
"부산광역시","　제조업",15145211,14620868,-0.38,14612069,14187013,-0.15,15034736,14075097,0.19
"부산광역시","　　음식료품 및 담배제조업",668301,633146,0.02,754403,695093,0.08,826691,744923,0.07
"부산광역시","　　섬유 의복 및 가죽 제품 제조업",1219848,1033236,-0.23,1121311,1006367,-0.07,890717,849974,0.01
"부산광역시","　　목재종이인쇄 및 복제업",391413,393079,0.06,341437,325682,-0.03,384673,340756,0.00
"부산광역시","　　석탄 및 석유 화학제품 제조업",1617445,1580835,-0.02,1447449,1499271,-0.13,1658469,1540884,0.09
"부산광역시","　　비금속광물 및 금속제품 제조업",4056807,3983322,-0.12,3799514,3660002,-0.15,4508857,3385039,-0.22
"부산광역시","　　전기 전자 및 정밀기기 제조업",1787786,1794660,-0.27,2029764,1925699,0.35,2390278,2581201,0.05
"부산광역시","　　기계 운송장비 및 기타 제품 제조업",5403611,5202590,0.17,5118191,5041367,-0.20,4375051,4614261,0.19
"부산광역시","전기, 가스, 증기 및 공기 조절 공급업",2012327,1853719,-0.02,1265671,1730861,0.10,1415203,2195171,-0.02
"부산광역시","건설업",4716366,4600841,0.61,5453526,4868200,0.06,5277252,4242229,-0.16
"부산광역시","서비스업",56723401,56295139,1.28,61398037,59421498,1.90,68041008,60422431,1.84
"부산광역시","　도매 및 소매업",8054463,7906868,-0.04,8235860,7987435,-0.02,7872515,7839840,0.15
"부산광역시","　운수 및 창고업",5599946,6108370,0.11,5560828,6706829,0.35,8984856,6189018,0.43
"부산광역시","　숙박 및 음식점업",2705401,2582458,0.06,2894167,2624935,0.10,2434985,2129301,0.04
"부산광역시","　정보통신업",1884327,1871586,0.16,1867771,1931360,0.10,1968484,2219379,0.02
"부산광역시","　금융 및 보험업",5241004,5230519,-0.05,6079960,5704706,0.30,6512902,6158150,0.24
"부산광역시","　부동산업",8036286,7907938,0.33,8658170,8364676,0.22,9008520,8536990,-0.06
"부산광역시","　사업서비스업",6724725,6647667,0.10,7525967,7001104,0.27,8200973,6865400,-0.10
"부산광역시","　공공 행정, 국방 및 사회보장 행정",4965263,4791005,0.10,5513521,4942527,0.06,6341576,5342805,0.25
"부산광역시","　교육 서비스업",5273994,5190516,-0.09,5592170,5319900,0.05,6005543,5487035,0.34
"부산광역시","　보건업 및 사회복지 서비스업",5442082,5363443,0.47,6521621,6230342,0.46,7810631,7210298,0.49
"부산광역시","　문화 및 기타서비스업",2795910,2694769,0.12,2948002,2652591,0.01,2900023,2433550,0.04
"대구광역시","지역내총생산(시장가격)",53167211,51823902,0.00,56714479,53964991,2.36,60987154,56017462,4.38
"대구광역시","순생산물세",3868238,3742918,0.16,4109187,3791220,-0.02,4732851,4032532,0.20
"대구광역시","총부가가치(기초가격)",49298973,48080984,-0.16,52605292,50176603,2.38,56254303,51986619,4.18
"대구광역시","농업, 임업 및 어업",157481,150780,0.01,150958,131637,-0.05,139680,107249,0.00
"대구광역시","광제조업",11074377,10621425,-0.54,11699407,11423428,0.82,11338457,10866777,1.73
"대구광역시","　광업",1765,1706,0.00,1831,1730,0.00,1208,1248,0.00
"대구광역시","　제조업",11072612,10619719,-0.54,11697576,11421725,0.82,11337249,10865507,1.73
"대구광역시","　　음식료품 및 담배제조업",432835,407430,0.00,484862,446433,0.08,465258,420340,0.01
"대구광역시","　　섬유 의복 및 가죽 제품 제조업",1374640,1211411,-0.37,1305572,1233961,-0.14,1072966,978047,0.04
"대구광역시","　　목재종이인쇄 및 복제업",643071,622817,0.13,672862,608724,0.04,652148,578740,0.03
"대구광역시","　　석탄 및 석유 화학제품 제조업",1115822,1093295,0.02,1065693,1124881,0.11,991480,973810,-0.02
"대구광역시","　　비금속광물 및 금속제품 제조업",2749605,2694774,-0.03,2822392,2772504,0.19,3146417,2504909,0.06
"대구광역시","　　전기 전자 및 정밀기기 제조업",1573911,1586000,0.04,1955418,1846763,0.45,1937255,2147988,0.67
"대구광역시","　　기계 운송장비 및 기타 제품 제조업",3182728,3003992,-0.33,3390777,3366727,0.09,3071725,3306380,0.95
"대구광역시","전기, 가스, 증기 및 공기 조절 공급업",365538,372843,0.05,268493,377427,-0.02,324898,512736,-0.04
"대구광역시","건설업",3079150,3002378,0.19,2639129,2358042,-0.38,4093837,3295073,0.67
"대구광역시","서비스업",34622427,33933558,0.13,37847305,35889264,2.01,40357431,37133028,1.82
"대구광역시","　도매 및 소매업",4644304,4559410,-0.05,4848889,4704544,0.14,4546609,4527016,0.08
"대구광역시","　운수 및 창고업",1742050,1686811,0.14,1841768,1913699,0.15,1703263,1630385,0.21
"대구광역시","　숙박 및 음식점업",1476326,1405001,0.07,1593338,1438292,0.08,1477570,1277317,-0.04
"대구광역시","　정보통신업",1282948,1273827,0.03,1289895,1329460,0.16,1409398,1566421,0.05
"대구광역시","　금융 및 보험업",3391164,3379173,0.02,3871597,3630932,0.25,4159426,3961645,0.25
"대구광역시","　부동산업",5515596,5421542,0.26,5830179,5621243,0.26,6140765,5808199,-0.16
"대구광역시","　사업서비스업",3655628,3613947,0.32,4100617,3841252,0.32,4438754,3808496,0.18
"대구광역시","　공공 행정, 국방 및 사회보장 행정",3760129,3618739,-1.00,4247131,3793424,0.09,4787260,4017184,-0.04
"대구광역시","　교육 서비스업",3935552,3873917,0.03,4232157,4026683,0.03,4690714,4283792,0.46
