GRDP,area_id,area_name
403.305,11110,Jongno-gu
1111.255,11140,Jung-gu
167.332,11170,Yongsan-gu
1445.003,11200,Seongdong-gu
215.895,11215,Gwangjin-gu
411.87,11230,Dongdaemun-gu
290.961,11260,Jungnang-gu
132.953,11290,Seongbuk-gu
88.951,11305,Gangbuk-gu
84.277,11320,Dobong-gu
136.67,11350,Nowon-gu
74.65,11380,Eunpyeong-gu
80.846,11410,Seodaemun-gu
270.642,11440,Mapo-gu
182.058,11470,Yangcheon-gu
480.451,11500,Gangseo-gu
1309.661,11530,Guro-gu
3034.339,11545,Geumcheon-gu
811.282,11560,Yeongdeungpo-gu
37.496,11590,Dongjak-gu
119.102,11620,Gwanak-gu
586.801,11650,Seocho-gu
2448.062,11680,Gangnam-gu
854.136,11710,Songpa-gu
134.116,11740,Gangdong-gu
15.828,26110,Jung-gu
131.074,26140,Seo-gu
64.472,26170,Dong-gu
701.926,26200,Yeongdo-gu
100.144,26230,Busanjin-gu
45.163,26260,Dongnae-gu
677.097,26290,Nam-gu
62.213,26320,Buk-gu
553.538,26350,Haeundae-gu
1903.073,26380,Saha-gu
332.883,26410,Geumjeong-gu
6177.094,26440,Gangseo-gu
74.451,26470,Yeonje-gu
21.937,26500,Suyeong-gu
1826.239,26530,Sasang-gu
1413.452,26710,Gijang-gun
111.493,27110,Jung-gu
408.69,27140,Dong-gu
692.974,27170,Seo-gu
44.419,27200,Nam-gu
1644.82,27230,Buk-gu
90.023,27260,Suseong-gu
3734.81,27290,Dalseo-gu
4138.607,27710,Dalseong-gun
1854.888,28110,Jung-gu
2073.08,28140,Dong-gu
860.164,28177,Michuhol-gu
3263.592,28185,Yeonsu-gu
5456.019,28200,Namdong-gu
2345.926,28237,Bupyeong-gu
792.063,28245,Gyeyang-gu
6044.193,28260,Seo-gu
195.834,28710,Ganghwa-gun
4.603,28720,Ongjin-gun
47.411,29110,Dong-gu
2192.617,29140,Seo-gu
43.035,29155,Nam-gu
2054.366,29170,Buk-gu
6688.68,29200,Gwangsan_gu
259.416,30110,Dong-gu
116.62,30140,Jung-gu
144.248,30170,Seo-gu
2606.578,30200,Yuseong-gu
3805.301,30230,Daedeok-gu
75.345,31110,Jung-gu
11868.346,31140,Nam-gu
3614.236,31170,Dong-gu
8812.376,31200,Buk-gu
10754.867,31710,Ulju-gun
2936.903,36110,Sejong_teugbyeoljachi-si
5908.308,41110,Suwon-si
4564.639,41130,Seongnam-si
245.223,41150,Uijeongbu-si
3297.202,41170,Anyang-si
4361.813,41190,Bucheon-si
2128.238,41210,Gwangmyeong-si
17041.305,41220,Pyeongtaek-si
270.112,41250,Dongducheon-si
12200.598,41270,Ansan-si
1728.699,41280,Goyang-si
19.219,41290,Gwacheon-si
153.514,41310,Guri-si
1870.394,41360,Namyangju-si
1821.466,41370,Osan-si
7358.353,41390,Siheung-si
2460.744,41410,Gunpo-si
687.733,41430,Uiwang-si
727.093,41450,Hanam-si
9721.821,41460,Yongin-si
12075.465,41480,Paju-si
17655.008,41500,Icheon-si
4470.198,41550,Anseong-si
5525.008,41570,Gimpo-si
62091.997,41590,Hwaseong-si
3277.646,41610,Gwangju-si
2006.438,41630,Yangju-si
2363.057,41650,Pocheon-si
894.263,41670,Yeoju-si
176.384,41800,Yeoncheon-gun
69.312,41820,Gapyeong-gun
68.56,41830,Yangpyeong-gun
501.511,42110,Chuncheon-si
1525.089,42130,Wonju-si
443.509,42150,Gangneung-si
535.257,42170,Donghae-si
46.901,42190,Taebaek-si
56.865,42210,Sokcho-si
198.425,42230,Samcheok-si
286.264,42720,Hongcheon-gun
411.725,42730,Hoengseong-gun
182.013,42750,Yeongwol-gun
71.005,42760,Pyeongchang-gun
54.403,42770,Jeongseon-gun
79.997,42780,Cheorwon-gun
14.724,42790,Hwacheon-gun
18.419,42800,Yanggu-gun
34.399,42810,Inje-gun
42.336,42820,Goseong-gun
39.977,42830,Yangyang-gun
18637.461,43110,Cheongju-si
2449.412,43130,Chungju-si
845.636,43150,Jecheon-si
261.538,43720,Boeun-gun
406.801,43730,Okcheon-gun
159.808,43740,Yeongdong-gun
