area_id,Geopolitical entity (reporting),GRDP
HU110,Budapest,62361.73
HU120,Pest,20038.04
HU211,Fejér,7497.13
HU212,Komárom-Esztergom,4837.95
HU213,Veszprém,4771.6
HU221,Győr-Moson-Sopron,8715.75
HU222,Vas,3623.97
HU223,Zala,3364.71
HU231,Baranya,4302.48
HU232,Somogy,3299.15
HU233,Tolna,2745.51
HU311,Borsod-Abaúj-Zemplén,7336.76
HU312,Heves,3595.1
HU313,Nógrád,1463.88
HU321,Hajdú-Bihar,6621.97
HU322,Jász-Nagykun-Szolnok,3939.67
HU323,Szabolcs-Szatmár-Bereg,5416.58
HU331,Bács-Kiskun,6518.22
HU332,Békés,3241.13
HU333,Csongrád-Csanád,5404.8
