area_id,area_name,population,age_old_dependency_ratio,age_working_population,age_old
11110,Jongno-gu,142711.0,42.14849167822469,92288.0,38898.0
11140,Jung-gu,121126.0,43.59168290431751,78008.0,34005.0
11170,Yongsan-gu,219915.0,37.61850899742931,145875.0,54876.0
11200,Seongdong-gu,282454.0,36.46108435606649,186673.0,68063.0
11215,Gwangjin-gu,336451.0,33.20141673233631,230954.0,76680.0
11230,Dongdaemun-gu,334227.0,40.737349353015716,216234.0,88088.0
11260,Jungnang-gu,383387.0,43.36903929291566,244497.0,106036.0
11290,Seongbuk-gu,426569.0,38.17287943487693,277037.0,105753.0
11305,Gangbuk-gu,295212.0,49.65269184444554,181827.0,90282.0
11320,Dobong-gu,313585.0,48.50390838029449,192535.0,93387.0
11350,Nowon-gu,505046.0,39.50248050590604,324329.0,128118.0
11380,Eunpyeong-gu,469174.0,41.60667424699649,299899.0,124778.0
11410,Seodaemun-gu,301252.0,38.59208109222103,196517.0,75840.0
11440,Mapo-gu,366298.0,30.887153390633863,252121.0,77873.0
11470,Yangcheon-gu,443170.0,36.11324255699099,286712.0,103541.0
11500,Gangseo-gu,569898.0,36.53925446705274,375919.0,137358.0
11530,Guro-gu,392659.0,41.37559784675111,249855.0,103379.0
11545,Geumcheon-gu,229459.0,40.18987341772152,151048.0,60706.0
11560,Yeongdeungpo-gu,374294.0,35.424742474247424,249975.0,88553.0
11590,Dongjak-gu,381995.0,37.236474673881226,252822.0,94142.0
11620,Gwanak-gu,480689.0,33.03625833397422,338074.0,111687.0
11650,Seocho-gu,406661.0,32.49228276402699,266611.0,86628.0
11680,Gangnam-gu,528726.0,31.469098678483817,353836.0,111349.0
11710,Songpa-gu,652432.0,34.10578054206413,429285.0,146411.0
11740,Gangdong-gu,461313.0,38.22579988878189,294916.0,112734.0
26110,Jung-gu,40044.0,66.5414847161572,22900.0,15238.0
26140,Seo-gu,103810.0,65.86291544072843,57439.0,37831.0
26170,Dong-gu,86910.0,65.9151166375501,48655.0,32071.0
26200,Yeongdo-gu,109333.0,76.32458982129795,57414.0,43821.0
26230,Busanjin-gu,349539.0,48.646932783112455,214217.0,104210.0
26260,Dongnae-gu,264478.0,46.35934550031466,158900.0,73665.0
26290,Nam-gu,259190.0,50.528678368946146,154158.0,77894.0
26320,Buk-gu,281668.0,48.15088194114925,170703.0,82195.0
26350,Haeundae-gu,392900.0,44.87612518926474,240404.0,107884.0
26380,Saha-gu,302888.0,51.23093790491379,180594.0,92520.0
26410,Geumjeong-gu,225633.0,54.682087006184666,133071.0,72766.0
26440,Gangseo-gu,143531.0,31.848107620862383,87641.0,27912.0
26470,Yeonje-gu,205581.0,49.325976906888116,123067.0,60704.0
26500,Suyeong-gu,173746.0,52.1994838288768,104229.0,54407.0
26530,Sasang-gu,206071.0,51.479413704889545,124306.0,63992.0
26710,Gijang-gun,177080.0,39.417239605257,106905.0,42139.0
27110,Jung-gu,73929.0,43.79774305555556,46080.0,20182.0
27140,Dong-gu,339697.0,49.69248173415602,202427.0,100591.0
27170,Seo-gu,162286.0,61.844273698178625,93446.0,57791.0
27200,Nam-gu,141499.0,57.09352896195756,83696.0,47785.0
27230,Buk-gu,434003.0,36.27093462992977,281352.0,102049.0
27260,Suseong-gu,413031.0,38.525625035976745,260585.0,100392.0
27290,Dalseo-gu,538390.0,38.17525239226489,345593.0,131931.0
27710,Dalseong-gun,262166.0,33.76583950115058,164699.0,55612.0
28110,Jung-gu,144161.0,33.718119375965074,93905.0,31663.0
28140,Dong-gu,60889.0,58.3663622264346,34818.0,20322.0
28177,Michuhol-gu,406501.0,41.56714943659626,258163.0,107311.0
28185,Yeonsu-gu,388483.0,26.82012250287778,259749.0,69665.0
28200,Namdong-gu,513766.0,35.93454208910016,332794.0,119588.0
28237,Bupyeong-gu,482085.0,38.22504781763201,313169.0,119709.0
28245,Gyeyang-gu,294002.0,35.94296020741743,195162.0,70147.0
28260,Seo-gu,556868.0,27.910035547531095,373303.0,104189.0
28710,Ganghwa-gun,69515.0,102.8646492782983,31592.0,32497.0
28720,Ongjin-gun,19940.0,77.56330625895843,10465.0,8117.0
29110,Dong-gu,103159.0,50.466392094938875,61429.0,31001.0
29140,Seo-gu,288304.0,34.58303838392376,189298.0,65465.0
29155,Nam-gu,214867.0,42.743496186826384,130731.0,55879.0
29170,Buk-gu,424137.0,37.19060294458742,271617.0,101016.0
29200,Gwangsan_gu,401929.0,22.907785262564136,276561.0,63354.0
30110,Dong-gu,220947.0,47.719903775755675,133854.0,63875.0
30140,Jung-gu,227744.0,48.123885853418166,137998.0,66410.0
30170,Seo-gu,469819.0,31.990830960277126,311483.0,99646.0
30200,Yuseong-gu,349705.0,24.88159207316562,238582.0,59363.0
30230,Daedeok-gu,173832.0,41.44679695982627,110520.0,45807.0
31110,Jung-gu,210512.0,42.26958825240786,130614.0,55210.0
31140,Nam-gu,310525.0,33.19296916359468,205893.0,68342.0
31170,Dong-gu,152581.0,38.04314605794261,94887.0,36098.0
31200,Buk-gu,217630.0,23.872521188324704,146189.0,34899.0
31710,Ulju-gun,220879.0,39.74946004319654,138900.0,55212.0
36110,Sejong_teugbyeoljachi-si,373490.0,23.779842214760954,242735.0,57722.0
41110,Suwon-si,1177482.0,27.34510762243286,810240.0,221561.0
41130,Seongnam-si,923905.0,34.62520080734852,606925.0,210149.0
