광역시도,시군구별,시점,항목,지역내총생산시장가격,순생산물세,총부가가치기초가격,농림어업,광업,제조업,전기가스증기및공기조절공급업,건설업,도소매업,운수및창고업,숙박및음식점업,정보통신업,금융보험업,부동산업,사업서비스업,공공행정국방및사회보장,교육서비스업,보건및사회복지서비스업,문화및기타서비스업
전라북도,장수군,2019,2015년 기준년가격(연쇄),508645,23627,485195,143456,2454,40413,3066,30353,20301,1025,10453,9271,3778,29488,9200,124647,17032,24425,15827
전라북도,장수군,2020,2015년 기준년가격(연쇄),501418,27151,474276,115402,17,34812,4901,35652,22843,2486,7804,9766,7001,29376,10639,139093,13645,18981,17628
전라북도,장수군,2021,2015년 기준년가격(연쇄),505898,21929,484052,126626,892,30790,3187,30433,14895,2704,6888,10277,8995,29256,13120,134987,16555,22378,25910
전라북도,임실군,2019,2015년 기준년가격(연쇄),695655,37996,657630,142066,412,87752,7157,37739,19374,6373,12320,10863,9182,38535,12788,198772,21131,33503,20105
전라북도,임실군,2020,2015년 기준년가격(연쇄),708377,43764,664571,131710,-,78558,10543,45129,17421,9794,11529,11407,7971,37547,10196,210654,21062,31605,29168
전라북도,임실군,2021,2015년 기준년가격(연쇄),745132,43039,702062,135851,0,85970,7215,56574,18828,10688,11988,11771,10739,37650,11234,213677,22954,33767,30983
전라북도,순창군,2019,2015년 기준년가격(연쇄),706653,43914,662718,173195,5901,82507,6168,45743,19380,4841,13724,10571,12653,37596,8367,141948,20020,66929,14668
전라북도,순창군,2020,2015년 기준년가격(연쇄),733818,51650,682160,152401,6273,87840,10248,51355,17299,7168,12552,11953,9908,35805,6015,151288,18135,91087,15241
전라북도,순창군,2021,2015년 기준년가격(연쇄),678660,48352,630294,144668,4749,87381,6290,45655,16792,12867,12205,12599,10580,35185,6672,144129,15477,58870,17600
전라북도,고창군,2019,2015년 기준년가격(연쇄),1630467,99197,1530685,391296,9781,137943,11692,264134,67865,12926,33286,21043,19276,98369,29637,208974,45705,137290,43720
전라북도,고창군,2020,2015년 기준년가격(연쇄),1465772,98558,1366330,390744,10328,139355,17395,145269,58382,13026,27153,24314,15486,89923,21893,229894,50419,101687,50447
