area_id,area_name,GRDP
44250,Gyeryong-si,1507709
44251,Gyeryong-si,1719448
44270,Dangjin-si,11384432
44271,Dangjin-si,11733515
44710,Geumsan-gun,2279225
44711,Geumsan-gun,2359964
44760,Buyeo-gun,1925260
44761,Buyeo-gun,1980356
44770,Seocheon-gun,2362739
44771,Seocheon-gun,2292178
44790,Cheongyang-gun,1188159
44791,Cheongyang-gun,1248541
44800,Hongseong-gun,3349387
44801,Hongseong-gun,3512347
44810,Yesan-gun,3323778
44811,Yesan-gun,3537211
44825,Taean-gun,2876636
44826,Taean-gun,2876612
45110,Jeonju-si,15790505
45111,Jeonju-si,15656658
45130,Gunsan-si,9218503
45131,Gunsan-si,9357449
45140,Iksan-si,7881218
45141,Iksan-si,8221353
45180,Jeongeup-si,3056405
45181,Jeongeup-si,3236457
45190,Namwon_si,1763497
45191,Namwon_si,1782256
45210,Gimje-si,2928412
45211,Gimje-si,3088783
45710,Wanju-gun,4829382
45711,Wanju-gun,4781760
45720,Jinan-gun,626343
45721,Jinan-gun,670017
45730,Muju-gun,691337
45731,Muju-gun,745672
45740,Jangsu-gun,526612
45741,Jangsu-gun,553433
45750,Imsil-gun,744969
45751,Imsil-gun,789158
45770,Sunchang-gun,761156
45771,Sunchang-gun,809283
45790,Gochang-gun,1697443
45791,Gochang-gun,1583028
45800,Buan-gun,1481752
45801,Buan-gun,1545178
46110,Mokpo-si,4530502
46111,Mokpo-si,4444220
46130,Yeosu-si,25870664
46131,Yeosu-si,25733671
46150,Suncheon-si,6125012
46151,Suncheon-si,6309237
46170,Naju-si,4903816
46171,Naju-si,4976771
46230,Gwangyang-si,10060287
46231,Gwangyang-si,9979935
46710,Damyang-gun,1424619
46711,Damyang-gun,1550518
46720,Gokseong-gun,998105
46721,Gokseong-gun,1071222
46730,Gurye-gun,575442
46731,Gurye-gun,595953
46770,Goheung-gun,1470217
46771,Goheung-gun,1604617
46780,Boseong-gun,996309
46781,Boseong-gun,1008572
46790,Hwasun-gun,1760151
46791,Hwasun-gun,1783722
46800,Jangheung-gun,1011194
46801,Jangheung-gun,1034038
46810,Gangjin-gun,892176
46811,Gangjin-gun,953921
46820,Haenam-gun,2119933
46821,Haenam-gun,2322251
46830,Yeongam-gun,3238786
46831,Yeongam-gun,3371718
46840,Muan-gun,3217377
46841,Muan-gun,3358212
46860,Hampyeong-gun,961784
46861,Hampyeong-gun,1092857
46870,Yeonggwang-gun,1871035
46871,Yeonggwang-gun,2187878
46880,Jangseong-gun,1857218
46881,Jangseong-gun,1977055
46890,Wando-gun,1125739
46891,Wando-gun,1262316
46900,Jindo-gun,889973
46901,Jindo-gun,882092
46910,Sinan-gun,1047940
46911,Sinan-gun,1318376
47110,Pohang-si,19296003
47111,Pohang-si,18620504
47130,Gyeongju-si,10550480
47131,Gyeongju-si,9921536
47150,Gimcheon-si,5457629
47151,Gimcheon-si,5654517
47170,Andong-si,5489203
47171,Andong-si,6018724
47190,Gumi-si,28938854
47191,Gumi-si,27984001
47210,Yeongju-si,3104536
47211,Yeongju-si,3038326
47230,Yeongcheon-si,3770337
47231,Yeongcheon-si,3824513
47250,Sangju-si,2388160
47251,Sangju-si,2492442
47280,Mungyeong-si,1637905
47281,Mungyeong-si,1794902
47290,Gyeongsan-si,8594507
47291,Gyeongsan-si,7997516
47720,Gunwi-gun,802975
47721,Gunwi-gun,846953
47730,Uiseong-gun,1350418
47731,Uiseong-gun,1408077
47750,Cheongsong-gun,804201
47751,Cheongsong-gun,803523
47760,Yeongyang-gun,408518
47761,Yeongyang-gun,439126
47770,Yeongdeok-gun,849963
47771,Yeongdeok-gun,928968
47820,Cheongdo-gun,1043216
47821,Cheongdo-gun,1015755
47830,Goryeong-gun,1474060
47831,Goryeong-gun,1265197
47840,Seongju-gun,1778458
47841,Seongju-gun,2071278
47850,Chilgok-gun,4275377
47851,Chilgok-gun,4584662
47900,Yecheon-gun,1163121
47901,Yecheon-gun,1150431
47920,Bonghwa-gun,1105448
47921,Bonghwa-gun,1163777
47930,Uljin-gun,2222383
47931,Uljin-gun,2468740
47940,Ulleung-gun,299708
47941,Ulleung-gun,278041
48120,Jinju-si,39860038
48121,Jinju-si,38694382
48170,Tongyeong-si,8643663
48171,Tongyeong-si,8495532
48220,Sacheon-si,3096258
48221,Sacheon-si,3153775
48240,Gimhae-si,4619158
48241,Gimhae-si,4355391
48250,Miryang-si,16058319
48251,Miryang-si,15604555
48270,Geoje-si,3160717
48271,Geoje-si,3172719
48310,Yangsan-si,9535962
48311,Yangsan-si,8584161
48330,Changwon-si,10952945
48331,Changwon-si,10795754
48720,Uiryeong-gun,955750
48721,Uiryeong-gun,976088
48730,Haman-gun,4003332
48731,Haman-gun,3999539
48740,Changnyeong-gun,2786570
48741,Changnyeong-gun,2474636
48820,Goseong-gun,2249551
48821,Goseong-gun,2292902
48840,Namhae-gun,1123864
48841,Namhae-gun,1134093
48850,Hadong-gun,2141813
48851,Hadong-gun,2164021
48860,Sancheong-gun,1056199
48861,Sancheong-gun,1096030
48870,Hamyang-gun,1051194
48871,Hamyang-gun,1053148
48880,Geochang-gun,1599712
48881,Geochang-gun,1648855
48890,Hapcheon-gun,1125887
48891,Hapcheon-gun,1151431
50110,Jeju-si,14859505
50111,Jeju-si,14316106
50130,Seogwipo-si,5449232
50131,Seogwipo-si,5299652
