GRDP,area_id,area_name
426.443,11110,Jongno-gu
1206.633,11140,Jung-gu
177.356,11170,Yongsan-gu
1534.796,11200,Seongdong-gu
239.093,11215,Gwangjin-gu
446.807,11230,Dongdaemun-gu
316.935,11260,Jungnang-gu
136.232,11290,Seongbuk-gu
95.32,11305,Gangbuk-gu
90.077,11320,Dobong-gu
142.22,11350,Nowon-gu
79.336,11380,Eunpyeong-gu
81.604,11410,Seodaemun-gu
284.942,11440,Mapo-gu
192.162,11470,Yangcheon-gu
486.228,11500,Gangseo-gu
1281.144,11530,Guro-gu
2976.127,11545,Geumcheon-gu
849.965,11560,Yeongdeungpo-gu
39.01,11590,Dongjak-gu
125.103,11620,Gwanak-gu
643.944,11650,Seocho-gu
2746.431,11680,Gangnam-gu
939.283,11710,Songpa-gu
145.994,11740,Gangdong-gu
17.084,26110,Jung-gu
140.892,26140,Seo-gu
71.972,26170,Dong-gu
677.092,26200,Yeongdo-gu
104.494,26230,Busanjin-gu
45.538,26260,Dongnae-gu
881.777,26290,Nam-gu
62.331,26320,Buk-gu
544.613,26350,Haeundae-gu
2052.69,26380,Saha-gu
347.866,26410,Geumjeong-gu
6541.714,26440,Gangseo-gu
80.999,26470,Yeonje-gu
22.497,26500,Suyeong-gu
1980.352,26530,Sasang-gu
1462.825,26710,Gijang-gun
119.863,27110,Jung-gu
408.562,27140,Dong-gu
751.251,27170,Seo-gu
45.263,27200,Nam-gu
1785.448,27230,Buk-gu
92.396,27260,Suseong-gu
3905.686,27290,Dalseo-gu
4228.78,27710,Dalseong-gun
1844.001,28110,Jung-gu
2352.372,28140,Dong-gu
877.988,28177,Michuhol-gu
2945.957,28185,Yeonsu-gu
5815.997,28200,Namdong-gu
2271.032,28237,Bupyeong-gu
806.642,28245,Gyeyang-gu
6468.996,28260,Seo-gu
226.346,28710,Ganghwa-gun
4.707,28720,Ongjin-gun
49.539,29110,Dong-gu
1985.1,29140,Seo-gu
44.001,29155,Nam-gu
1926.718,29170,Buk-gu
6735.035,29200,Gwangsan_gu
277.858,30110,Dong-gu
121.91,30140,Jung-gu
152.12,30170,Seo-gu
2544.622,30200,Yuseong-gu
3918.889,30230,Daedeok-gu
77.209,31110,Jung-gu
14929.783,31140,Nam-gu
3011.132,31170,Dong-gu
8032.867,31200,Buk-gu
13071.016,31710,Ulju-gun
2936.903,36110,Sejong_teugbyeoljachi-si
5275.355,41110,Suwon-si
4271.509,41130,Seongnam-si
250.308,41150,Uijeongbu-si
3140.164,41170,Anyang-si
4293.426,41190,Bucheon-si
1935.902,41210,Gwangmyeong-si
16215.334,41220,Pyeongtaek-si
285.467,41250,Dongducheon-si
12566.358,41270,Ansan-si
1783.402,41280,Goyang-si
18.658,41290,Gwacheon-si
163.649,41310,Guri-si
2010.688,41360,Namyangju-si
2029.712,41370,Osan-si
8070.94,41390,Siheung-si
2402.693,41410,Gunpo-si
673.649,41430,Uiwang-si
771.795,41450,Hanam-si
9370.905,41460,Yongin-si
11398.958,41480,Paju-si
16113.621,41500,Icheon-si
4568.215,41550,Anseong-si
6078.228,41570,Gimpo-si
57012.596,41590,Hwaseong-si
3468.5,41610,Gwangju-si
2172.171,41630,Yangju-si
2556.677,41650,Pocheon-si
886.884,41670,Yeoju-si
205.149,41800,Yeoncheon-gun
73.237,41820,Gapyeong-gun
69.145,41830,Yangpyeong-gun
500.46,42110,Chuncheon-si
1491.141,42130,Wonju-si
433.356,42150,Gangneung-si
549.053,42170,Donghae-si
53.437,42190,Taebaek-si
62.431,42210,Sokcho-si
186.418,42230,Samcheok-si
277.378,42720,Hongcheon-gun
431.097,42730,Hoengseong-gun
170.289,42750,Yeongwol-gun
68.858,42760,Pyeongchang-gun
63.242,42770,Jeongseon-gun
83.11,42780,Cheorwon-gun
15.175,42790,Hwacheon-gun
18.356,42800,Yanggu-gun
36.021,42810,Inje-gun
43.022,42820,Goseong-gun
41.074,42830,Yangyang-gun
18139.273,43110,Cheongju-si
2605.64,43130,Chungju-si
797.984,43150,Jecheon-si
299.63,43720,Boeun-gun
419.704,43730,Okcheon-gun
173.111,43740,Yeongdong-gun
527.054,43745,Jeungpyeong-gun
5032.893,43750,Jincheon-gun
286.258,43760,Goesan-gun
5258.047,43770,Eumseong-gun
379.001,43800,Danyang-gun
13107.657,44130,Cheonan-si
1119.943,44150,Gongju-si
411.505,44180,Boryeong-si
22962.37,44200,Asan-si
10687.192,44210,Seosan-si
960.503,44230,Nonsan-si
84.486,44250,Gyeryong-si
7007.203,44270,Dangjin-si
870.473,44710,Geumsan-gun
334.426,44760,Buyeo-gun
543.969,44770,Seocheon-gun
336.18,44790,Cheongyang-gun
440.063,44800,Hongseong-gun
1247.026,44810,Yesan-gun
60.881,44825,Taean-gun
1303.888,45110,Jeonju-si
3596.335,45130,Gunsan-si
2474.208,45140,Iksan-si
951.82,45180,Jeongeup-si
171.633,45190,Namwon_si
846.041,45210,Gimje-si
2213.513,45710,Wanju-gun
39.416,45720,Jinan-gun
38.874,45730,Muju-gun
35.483,45740,Jangsu-gun
106.857,45750,Imsil-gun
96.742,45770,Sunchang-gun
156.196,45790,Gochang-gun
151.6,45800,Buan-gun
205.233,46110,Mokpo-si
16020.443,46130,Yeosu-si
959.967,46150,Suncheon-si
913.517,46170,Naju-si
6277.818,46230,Gwangyang-si
345.969,46710,Damyang-gun
386.229,46720,Gokseong-gun
29.911,46730,Gurye-gun
128.524,46770,Goheung-gun
54.82,46780,Boseong-gun
280.038,46790,Hwasun-gun
98.2,46800,Jangheung-gun
69.174,46810,Gangjin-gun
261.744,46820,Haenam-gun
1244.804,46830,Yeongam-gun
138.737,46840,Muan-gun
179.934,46860,Hampyeong-gun
133.27,46870,Yeonggwang-gun
571.56,46880,Jangseong-gun
58.487,46890,Wando-gun
32.165,46900,Jindo-gun
43.221,46910,Sinan-gun
10571.254,47110,Pohang-si
4848.555,47130,Gyeongju-si
1931.121,47150,Gimcheon-si
555.874,47170,Andong-si
17608.896,47190,Gumi-si
1231.881,47210,Yeongju-si
1837.59,47230,Yeongcheon-si
310.739,47250,Sangju-si
316.745,47280,Mungyeong-si
2850.717,47290,Gyeongsan-si
176.623,47720,Gunwi-gun
146.935,47730,Uiseong-gun
18.951,47750,Cheongsong-gun
16.663,47760,Yeongyang-gun
44.309,47770,Yeongdeok-gun
156.13,47820,Cheongdo-gun
774.037,47830,Goryeong-gun
904.921,47840,Seongju-gun
1962.932,47850,Chilgok-gun
60.484,47900,Yecheon-gun
410.286,47920,Bonghwa-gun
28.408,47930,Uljin-gun
10.025,47940,Ulleung-gun
15230.879,48120,Changwon-si
875.325,48170,Jinju-si
121.395,48220,Tongyeong-si
1906.59,48240,Sacheon-si
6255.892,48250,Gimhae-si
744.679,48270,Miryang-si
4615.458,48310,Geoje-si
4311.67,48330,Yangsan-si
201.104,48720,Uiryeong-gun
2040.772,48730,Haman-gun
1089.919,48740,Changnyeong-gun
423.561,48820,Goseong-gun
32.366,48840,Namhae-gun
62.588,48850,Hadong-gun
94.489,48860,Sancheong-gun
115.569,48870,Hamyang-gun
240.389,48880,Geochang-gun
62.776,48890,Hapcheon-gun
601.374,50110,Jeju-si
125.483,50130,Seogwipo-si
