area_id,area_name,GRDP
46110_2018,Mokpo-si,4222.8
46130_2018,Yeosu-si,26408.1
46150_2018,Suncheon-si,6084.2
46170_2018,Naju-si,4381.1
46230_2018,Gwangyang-si,9688.3
46710_2018,Damyang-gun,1338.7
46720_2018,Gokseong-gun,955.0
46730_2018,Gurye-gun,553.6
46770_2018,Goheung-gun,1355.9
46780_2018,Boseong-gun,942.6
46790_2018,Hwasun-gun,1559.2
46800_2018,Jangheung-gun,992.2
46810_2018,Gangjin-gun,886.1
46820_2018,Haenam-gun,2064.7
46830_2018,Yeongam-gun,2899.7
46840_2018,Muan-gun,2997.3
46860_2018,Hampyeong-gun,935.4
46870_2018,Yeonggwang-gun,2335.8
46880_2018,Jangseong-gun,1792.0
46890_2018,Wando-gun,1094.4
46900_2018,Jindo-gun,825.8
46910_2018,Sinan-gun,1111.5
47110_2018,Pohang-si,18577.4
47130_2018,Gyeongju-si,10171.0
47150_2018,Gimcheon-si,5528.1
47170_2018,Andong-si,4898.0
47190_2018,Gumi-si,33860.1
47210_2018,Yeongju-si,3005.3
47230_2018,Yeongcheon-si,3620.9
47250_2018,Sangju-si,2158.1
47280_2018,Mungyeong-si,1678.5
47290_2018,Gyeongsan-si,7793.7
47720_2018,Gunwi-gun,817.7
47730_2018,Uiseong-gun,1291.5
47750_2018,Cheongsong-gun,714.1
47760_2018,Yeongyang-gun,401.8
47770_2018,Yeongdeok-gun,778.7
47820_2018,Cheongdo-gun,1021.3
47830_2018,Goryeong-gun,1506.1
47840_2018,Seongju-gun,1829.5
47850_2018,Chilgok-gun,4283.3
47900_2018,Yecheon-gun,1194.2
47920_2018,Bonghwa-gun,1023.6
47930_2018,Uljin-gun,2311.2
47940_2018,Ulleung-gun,318.4
48120_2018,Jinju-si,38838.2
48170_2018,Tongyeong-si,8412.6
48220_2018,Sacheon-si,3059.8
48240_2018,Gimhae-si,4339.4
48250_2018,Miryang-si,15827.8
48270_2018,Geoje-si,3008.6
48310_2018,Yangsan-si,8948.4
48330_2018,Changwon-si,10727.2
48720_2018,Uiryeong-gun,939.2
48730_2018,Haman-gun,3831.5
48740_2018,Changnyeong-gun,2715.0
48820_2018,Goseong-gun,2092.9
48840_2018,Namhae-gun,1102.1
48850_2018,Hadong-gun,2123.9
48860_2018,Sancheong-gun,1038.3
