area_name,GRDP,area_id
Budapest,54785.49,01
Pest,15287.32,13
Fejér,6203.95,07
Komárom-Esztergom,4540.12,11
Veszprém,3910.52,19
Győr-Moson-Sopron,8058.45,08
Vas,3387.52,18
Zala,2979.01,20
Baranya,3635.99,02
Somogy,2837.42,14
Tolna,2460.92,17
Borsod-Abaúj-Zemplén,6626.58,05
Heves,3310.82,10
Nógrád,1239.99,12
Hajdú-Bihar,5633.98,09
Jász-Nagykun-Szolnok,3502.54,16
Szabolcs-Szatmár-Bereg,4783.36,15
Bács-Kiskun,6089.62,03
Békés,2870.6,04
Csongrád-Csanád,4410.3,06
