area_id,desc
1 North_Hamgyong_Province cheongjin,"Full address of the given location is cheongjin, North_Hamgyong_Province, PRK_4shot
Sum of NO₂ over the area is 0.02mol/m²
Sum of SO₂ over the area is 0.204mol/m²
Sum of CO over the area is 61.662mol/m²
Average land surface temperature is 8.6°C
List of production facilities are 가축사육업, 금바위광산, 낙산광산(락산광산), 부윤광산, 삼해광산
The Factory area percentage and area estimated from satellite imagery are 0.3%, 0.6km²
The Commercial area percentage and area estimated from satellite imagery are 0.8%, 1.5km²
Distance to the nearest port is 229.8km
Sum of nightlight intensity is 443.633
Average nightlight intensity is 0.623
Area of district of the given location is 172.9km²"
2 pyeongyang pyeongyang,"Full address of the given location is pyeongyang, pyeongyang, PRK_4shot
Sum of NO₂ over the area is 0.079mol/m²
Sum of SO₂ over the area is 0.381mol/m²
Sum of CO over the area is 97.552mol/m²
Average land surface temperature is 22.1°C
List of production facilities are 가축사육업, 강동청년탄광, 고비탄광, 낙원영화관, 대동문영화관, 동평양대극장, 만수대예술극장, 모란봉극장, 봉화예술극장, 선교영화관, 조선4.26아동영화촬영소, 조선예술영화촬영소, 조선인민군4.25예술영화촬영소, 평양교예극장, 평양국제영화회관, 평양대극장
The Factory area percentage and area estimated from satellite imagery are 3.2%, 13.9km²
The Commercial area percentage and area estimated from satellite imagery are 5.2%, 22.5km²
Distance to the nearest port is 264.2km
Sum of nightlight intensity is 4282.333
Average nightlight intensity is 3.602
Area of district of the given location is 432.4km²"
3 North_Hamgyong_Province rason,"Full address of the given location is rason, North_Hamgyong_Province, PRK_4shot
Sum of NO₂ over the area is 0.011mol/m²
Sum of SO₂ over the area is 0.109mol/m²
Sum of CO over the area is 31.441mol/m²
Average land surface temperature is 8.2°C
List of production facilities are 가축사육업
The Factory area percentage and area estimated from satellite imagery are 0.9%, 1.3km²
The Commercial area percentage and area estimated from satellite imagery are 1.6%, 2.4km²
Distance to the nearest port is 155.9km
Sum of nightlight intensity is 334.177
Average nightlight intensity is 0.352
Area of district of the given location is 147.2km²"
4 North_Pyongan_Province shinuiju,"Full address of the given location is shinuiju, North_Pyongan_Province, PRK_4shot
Sum of NO₂ over the area is 0.006mol/m²
Sum of SO₂ over the area is 0.026mol/m²
Sum of CO over the area is 7.482mol/m²
Average land surface temperature is 14.4°C
List of production facilities are 가축사육업, 도립극장, 신의주극장
The Factory area percentage and area estimated from satellite imagery are 1.3%, 2.0km²
The Commercial area percentage and area estimated from satellite imagery are 0.9%, 1.3km²
Distance to the nearest port is 198.0km
Sum of nightlight intensity is 2952.583
Average nightlight intensity is 4.17
Area of district of the given location is 150.3km²"
