"자치구별(1)","시군구별",경제활동별(1),2021,2021
"자치구별(1)","자치구별(2)",경제활동별(1),당해년가격,2015년 기준년 연쇄가격
"서울시","소계",지역내총생산(시장가격),472040199,431678812
"서울시","소계",순생산물세,47051092,40172381
"서울시","소계",총부가가치(기초가격),424989107,391384648
"서울시","소계",농·림·어업,365950,440369
"서울시","소계",광업,12820,17182
"서울시","소계",제조업,15683182,14916563
"서울시","소계",전기 가스 증기 및 공기조절 공급업,1548345,2887553
"서울시","소계",건설업,13328297,10758261
"서울시","소계",도매 및 소매업,62468292,62276057
"서울시","소계",운수 및 창고업,11208580,9896426
"서울시","소계",숙박 및 음식점업,9755973,8577385
"서울시","소계",정보통신업,60261592,54583710
"서울시","소계",금융 및 보험업,62755043,60068929
"서울시","소계",부동산업,46172600,44239308
"서울시","소계",사업서비스업,68408201,59009955
"서울시","소계",공공행정 국방 및 사회보장행정,17567088,14802383
"서울시","소계",교육서비스업,20329970,18626104
"서울시","소계",보건업 및 사회복지서비스업,23092177,21092132
"서울시","소계",문화 및 기타 서비스업,12030997,10631863
"서울시","종로구",지역내총생산(시장가격),35719537,32961063
"서울시","종로구",순생산물세,4348737,3705171
"서울시","종로구",총부가가치(기초가격),31370800,29220243
"서울시","종로구",농·림·어업,7422,8596
"서울시","종로구",광업,8547,12687
"서울시","종로구",제조업,426443,403305
"서울시","종로구",전기 가스 증기 및 공기조절 공급업,49934,92680
"서울시","종로구",건설업,319247,258608
"서울시","종로구",도매 및 소매업,2673115,2666794
"서울시","종로구",운수 및 창고업,1001801,756109
"서울시","종로구",숙박 및 음식점업,492446,429454
"서울시","종로구",정보통신업,3273048,3023596
"서울시","종로구",금융 및 보험업,9833520,9916414
"서울시","종로구",부동산업,1919167,1886564
"서울시","종로구",사업서비스업,3679029,3274022
"서울시","종로구",공공행정 국방 및 사회보장행정,4929964,4135970
"서울시","종로구",교육서비스업,878025,806026
"서울시","종로구",보건업 및 사회복지서비스업,1318386,1201441
"서울시","종로구",문화 및 기타 서비스업,560708,523718
"서울시","중구",지역내총생산(시장가격),61342710,58648964
"서울시","중구",순생산물세,8179882,6965641
"서울시","중구",총부가가치(기초가격),53162829,51551699
"서울시","중구",농·림·어업,38,39
"서울시","중구",광업,28,29
"서울시","중구",제조업,1206633,1111255
"서울시","중구",전기 가스 증기 및 공기조절 공급업,60976,112535
"서울시","중구",건설업,508164,412801
