담양군,345969,전라남도
곡성군,386229,전라남도
구례군,29911,전라남도
고흥군,128524,전라남도
보성군,54820,전라남도
화순군,280038,전라남도
장흥군,98200,전라남도
강진군,69174,전라남도
해남군,261744,전라남도
영암군,1244804,전라남도
무안군,138737,전라남도
함평군,179934,전라남도
영광군,133270,전라남도
장성군,571560,전라남도
완도군,58487,전라남도
진도군,32165,전라남도
신안군,43221,전라남도
전라북도,12182606,전라북도
전주시,1303888,전라북도
군산시,3596335,전라북도
익산시,2474208,전라북도
정읍시,951820,전라북도
남원시,171633,전라북도
김제시,846041,전라북도
완주군,2213513,전라북도
진안군,39416,전라북도
무주군,38874,전라북도
장수군,35483,전라북도
임실군,106857,전라북도
순창군,96742,전라북도
고창군,156196,전라북도
부안군,151600,전라북도
