"서구","운수 및 창고업",156552,164525,150269,148333,153624,136948,125026,117847
"서구","숙박 및 음식점업",97114,89370,93535,83435,70606,63184,67181,59351
"서구","정보통신업",93971,100670,106272,123431,131679,163762,122252,163526
"서구","금융 및 보험업",227498,208850,189451,177024,161189,155984,161134,148784
"서구","부동산업",288229,278174,331256,317072,377594,358814,595053,563070
"서구","사업서비스업",239724,222808,263103,239084,259871,227251,300052,250363
"서구","공공행정, 국방 및 사회보장 행정",103800,93723,115923,102479,148079,128081,133589,112897
"서구","교육 서비스업",43342,41862,43210,40546,139621,129910,156759,144051
"서구","보건업 및 사회복지 서비스업",281498,268209,328602,311494,287123,266064,323068,298096
"서구","문화 및 기타서비스업",193292,171531,210860,182011,217918,180418,208788,170280
"남구","지역내총생산(시장가격)",2947000,2787943,3219019,3009831,3099186,2849126,2927437,2649279
"남구","순생산물세",182266,168162,207131,192286,222259,191298,195730,159344
"남구","총부가가치(기초가격)",2764734,2619660,3011888,2817125,2876927,2657361,2731707,2490857
"남구","농업, 임업 및 어업",225,234,1328,1525,1403,1404,1678,1412
"남구","광업",216,205,43,41,18,18,0,0
"남구","제조업",44795,42815,41886,40075,90330,85416,45263,44419
"남구","전기, 가스, 증기 및 공기 조절 공급업",7267,9922,7185,9708,14129,18656,11667,17592
"남구","건설업",173295,155441,200482,171027,246768,205834,251951,203631
"남구","도매 및 소매업",175697,170426,179424,178043,168725,170907,138132,137428
"남구","운수 및 창고업",76492,77518,82375,79796,43531,39744,71602,67457
"남구","숙박 및 음식점업",103370,95193,104617,93190,75379,67187,80058,70294
"남구","정보통신업",91234,92539,87183,88983,90781,94440,81324,86116
"남구","금융 및 보험업",89673,81679,90180,83412,104054,99413,113340,103466
"남구","부동산업",447734,431811,624423,597110,675462,640636,464670,439459
"남구","사업서비스업",428367,402653,375745,345586,273431,238022,290704,239555
"남구","공공행정, 국방 및 사회보장 행정",118639,106802,97437,85858,112634,97435,110611,93264
"남구","교육 서비스업",340440,324052,330336,307997,281439,261423,282925,261630
"남구","보건업 및 사회복지 서비스업",507001,479408,630268,593127,562898,519504,645566,593726
"남구","문화 및 기타서비스업",160289,149045,158976,145177,135943,123327,142217,127001
"북구","지역내총생산(시장가격)",10863537,10272214,10578872,9884231,10468227,9592719,9542554,8580009
"북구","순생산물세",687064,632649,685733,635326,823368,648782,702326,525510
"북구","총부가가치(기초가격)",10176472,9639548,9893139,9248125,9644859,8942892,8840228,8063245
"북구","농업, 임업 및 어업",11919,10849,8020,7865,7871,6885,9063,7355
"북구","광업",0,0,0,0,0,0,0,0
"북구","제조업",1699038,1656782,1557163,1511612,2267643,2170892,1785448,1644820
"북구","전기, 가스, 증기 및 공기 조절 공급업",26704,36700,26238,35693,51828,68602,42309,64930
"북구","건설업",430144,384583,566757,477855,687744,565644,453786,361488
"북구","도매 및 소매업",997603,967499,1022932,1015417,987851,1001699,963508,959958
"북구","운수 및 창고업",218701,228569,256115,252607,220130,201506,229513,220058
"북구","숙박 및 음식점업",264367,240617,290526,255966,224412,197816,216650,191814
"북구","정보통신업",176813,177525,181019,184036,330255,348672,268089,294817
"북구","금융 및 보험업",398838,359393,363913,336589,403727,389180,444649,409495
"북구","부동산업",1389487,1338847,1056461,1009449,1149903,1090812,969534,916476
"북구","사업서비스업",710726,665524,749725,684346,629504,563062,659171,569963
"북구","공공행정, 국방 및 사회보장 행정",902958,801982,726956,633797,360451,305851,366443,306106
"북구","교육 서비스업",2075989,1960391,2134553,1967516,1363345,1249388,1368338,1239457
"북구","보건업 및 사회복지 서비스업",572562,545667,638756,605711,649432,600860,737620,679397
