"영천시","보건업 및 사회복지서비스업",150391,138731
"영천시","문화 및 기타서비스업",123636,94080
"상주시","지역내총생산(시장가격)",2737081,2434371
"상주시","순생산물세",134369,114970
"상주시","총부가가치(기초가격)",2602712,2319294
"상주시","농업, 어업 및 임업",587614,477112
"상주시","광업",4585,-
"상주시","제조업",310739,297144
"상주시","전기가스증기및공기조절업",10900,18834
"상주시","건설업",247906,195671
"상주시","도매및소매업",125838,125179
"상주시","운수및창고업",55738,55960
"상주시","숙박 및 음식점업",45647,39700
"상주시","정보통신업",31695,38901
"상주시","금융 및 보험업",104133,95360
"상주시","부동산업",94260,89474
"상주시","사업서비스업",127542,117224
"상주시","공공행정,국방 및 사회보장 행정",412283,357867
"상주시","교육서비스업(정부)",184901,162580
"상주시","보건업 및 사회복지서비스업",186927,172044
"상주시","문화 및 기타서비스업",72003,61931
"문경시","지역내총생산(시장가격)",1860692,1706696
"문경시","순생산물세",93990,80420
"문경시","총부가가치(기초가격)",1766702,1626065
"문경시","농업, 어업 및 임업",319166,302992
"문경시","광업",8895,9385
"문경시","제조업",316745,302887
"문경시","전기가스증기및공기조절업",8209,14185
"문경시","건설업",113718,90295
"문경시","도매및소매업",73830,73370
"문경시","운수및창고업",29245,29667
"문경시","숙박 및 음식점업",45631,40174
"문경시","정보통신업",21289,26645
"문경시","금융 및 보험업",63262,57403
"문경시","부동산업",57856,55797
"문경시","사업서비스업",47522,37634
"문경시","공공행정,국방 및 사회보장 행정",301636,261532
"문경시","교육서비스업(정부)",153325,137179
"문경시","보건업 및 사회복지서비스업",137098,126858
"문경시","문화 및 기타서비스업",69275,58396
"경산시","지역내총생산(시장가격)",8379801,7935208
"경산시","순생산물세",513681,439519
"경산시","총부가가치(기초가격)",7866120,7495370
"경산시","농업, 어업 및 임업",211765,148773
"경산시","광업",13978,14868
"경산시","제조업",2850717,2725991
"경산시","전기가스증기및공기조절업",195695,349129
"경산시","건설업",576827,463143
"경산시","도매및소매업",330940,329368
"경산시","운수및창고업",207773,208159
"경산시","숙박 및 음식점업",164151,141482
"경산시","정보통신업",162979,179799
"경산시","금융 및 보험업",271130,264969
"경산시","부동산업",618198,600627
"경산시","사업서비스업",558705,522144
"경산시","공공행정,국방 및 사회보장 행정",467579,403676
"경산시","교육서비스업(정부)",642951,691479
"경산시","보건업 및 사회복지서비스업",329218,303390
"경산시","문화 및 기타서비스업",263512,175919
"군위군","지역내총생산(시장가격)",995905,883588
"군위군","순생산물세",51393,43973
"군위군","총부가가치(기초가격)",944512,839538
"군위군","농업, 어업 및 임업",176401,145585
"군위군","광업",10370,11121
"군위군","제조업",176623,168895
"군위군","전기가스증기및공기조절업",4547,7857
"군위군","건설업",82840,65317
"군위군","도매및소매업",34892,34713
"군위군","운수및창고업",19612,19498
"군위군","숙박 및 음식점업",16442,14031
"군위군","정보통신업",8527,10266
"군위군","금융 및 보험업",18684,17177
"군위군","부동산업",75643,71017
"군위군","사업서비스업",20600,16295
"군위군","공공행정,국방 및 사회보장 행정",167198,145265
"군위군","교육서비스업(정부)",32680,22763
"군위군","보건업 및 사회복지서비스업",47549,44537
"군위군","문화 및 기타서비스업",51904,44715
"의성군","지역내총생산(시장가격)",1471875,1255618
"의성군","순생산물세",69629,59577
"의성군","총부가가치(기초가격)",1402245,1195918
"의성군","농업, 어업 및 임업",425373,320719
"의성군","광업",429,-
"의성군","제조업",146935,140506
"의성군","전기가스증기및공기조절업",6141,10610
"의성군","건설업",103140,81007
"의성군","도매및소매업",54139,53907
"의성군","운수및창고업",21704,21788
"의성군","숙박 및 음식점업",16700,14591
"의성군","정보통신업",21950,25520
"의성군","금융 및 보험업",31058,28220
"의성군","부동산업",25060,24106
"의성군","사업서비스업",33459,27416
"의성군","공공행정,국방 및 사회보장 행정",296826,257746
"의성군","교육서비스업(정부)",74454,55773
"의성군","보건업 및 사회복지서비스업",73206,67561
"의성군","문화 및 기타서비스업",71672,62287
"청송군","지역내총생산(시장가격)",756705,670444
"청송군","순생산물세",32883,28135
"청송군","총부가가치(기초가격)",723823,642131
"청송군","농업, 어업 및 임업",188217,176330
"청송군","광업",6181,6628
"청송군","제조업",18951,18122
"청송군","전기가스증기및공기조절업",2844,4914
"청송군","건설업",84508,67389
"청송군","도매및소매업",26567,26450
"청송군","운수및창고업",9474,9471
"청송군","숙박 및 음식점업",21627,19062
"청송군","정보통신업",9449,10609
"청송군","금융 및 보험업",12465,11380
"청송군","부동산업",11010,10718
"청송군","사업서비스업",28729,23510
"청송군","공공행정,국방 및 사회보장 행정",176729,149040
"청송군","교육서비스업(정부)",45207,38801
"청송군","보건업 및 사회복지서비스업",52358,48915
"청송군","문화 및 기타서비스업",29508,21825
"영양군","지역내총생산(시장가격)",494412,422397
"영양군","순생산물세",19932,17054
"영양군","총부가가치(기초가격)",474481,405354
"영양군","농업, 어업 및 임업",117099,102539
"영양군","광업",58,-
"영양군","제조업",16663,15934
"영양군","전기가스증기및공기조절업",1528,2640
"영양군","건설업",50176,40246
"영양군","도매및소매업",9489,9433
"영양군","운수및창고업",1917,1917
"영양군","숙박 및 음식점업",5411,4797
"영양군","정보통신업",6527,7886
"영양군","금융 및 보험업",14093,12988
"영양군","부동산업",5375,5267
"영양군","사업서비스업",37507,22438
"영양군","공공행정,국방 및 사회보장 행정",156626,136069
"영양군","교육서비스업(정부)",33884,26532
"영양군","보건업 및 사회복지서비스업",13528,12576
"영양군","문화 및 기타서비스업",4598,2976
"영덕군","지역내총생산(시장가격)",915689,810563
"영덕군","순생산물세",43300,37048
"영덕군","총부가가치(기초가격)",872389,773466
"영덕군","농업, 어업 및 임업",128094,114687
"영덕군","광업",11863,12672
"영덕군","제조업",44309,42370
"영덕군","전기가스증기및공기조절업",4022,6950
"영덕군","건설업",131084,103638
"영덕군","도매및소매업",35249,35044
"영덕군","운수및창고업",5251,5316
"영덕군","숙박 및 음식점업",35409,31522
"영덕군","정보통신업",12598,15243
"영덕군","금융 및 보험업",17176,15667
"영덕군","부동산업",31871,30103
"영덕군","사업서비스업",21413,17873
"영덕군","공공행정,국방 및 사회보장 행정",218200,189029
"영덕군","교육서비스업(정부)",65185,51362
"영덕군","보건업 및 사회복지서비스업",54370,50231
"영덕군","문화 및 기타서비스업",56296,50066
"청도군","지역내총생산(시장가격)",1219171,1099541
"청도군","순생산물세",58432,49996
"청도군","총부가가치(기초가격)",1160739,1049438
"청도군","농업, 어업 및 임업",283342,222658
"청도군","광업",2684,2878
"청도군","제조업",156130,149299
"청도군","전기가스증기및공기조절업",6814,11774
"청도군","건설업",61982,49190
"청도군","도매및소매업",44015,43765
"청도군","운수및창고업",16368,16079
"청도군","숙박 및 음식점업",37012,32532
"청도군","정보통신업",15675,19269
"청도군","금융 및 보험업",26559,24115
"청도군","부동산업",36505,35310
"청도군","사업서비스업",74208,60678
"청도군","공공행정,국방 및 사회보장 행정",195947,170391
"청도군","교육서비스업(정부)",63881,60953
"청도군","보건업 및 사회복지서비스업",57651,53176
"청도군","문화 및 기타서비스업",81964,83174
"고령군","지역내총생산(시장가격)",1719068,1541846
"고령군","순생산물세",107687,92140
"고령군","총부가가치(기초가격)",1611381,1449430
"고령군","농업, 어업 및 임업",250685,178836
"고령군","광업",6292,6747
"고령군","제조업",774037,740171
"고령군","전기가스증기및공기조절업",17781,30723
"고령군","건설업",60454,47647
"고령군","도매및소매업",51101,50916
"고령군","운수및창고업",29726,29987
"고령군","숙박 및 음식점업",13160,11502
"고령군","정보통신업",10751,13018
"고령군","금융 및 보험업",17528,15636
"고령군","부동산업",34710,33506
"고령군","사업서비스업",26251,21794
"고령군","공공행정,국방 및 사회보장 행정",168962,147022
"고령군","교육서비스업(정부)",50241,41614
"고령군","보건업 및 사회복지서비스업",37769,34906
"고령군","문화 및 기타서비스업",61934,41327
"성주군","지역내총생산(시장가격)",2454087,2197046
"성주군","순생산물세",142148,121626
"성주군","총부가가치(기초가격)",2311939,2074607
"성주군","농업, 어업 및 임업",635182,551753
"성주군","광업",10279,11004
"성주군","제조업",904921,865328
"성주군","전기가스증기및공기조절업",14675,25356
"성주군","건설업",90518,72246
"성주군","도매및소매업",73836,73563
"성주군","운수및창고업",50378,49708
"성주군","숙박 및 음식점업",27621,24236
"성주군","정보통신업",15236,18619
"성주군","금융 및 보험업",19607,17602
"성주군","부동산업",43995,42102
"성주군","사업서비스업",46649,38773
"성주군","공공행정,국방 및 사회보장 행정",216583,188006
"성주군","교육서비스업(정부)",54962,46676
