area_id,area_name,population
92,Mazowiecki regionalny,2327207
22,Śląskie,4488998
82,Podkarpackie,2086135
62,Warmińsko-mazurskie,1404441
72,Świętokrzyskie,1226243
61,Kujawsko-pomorskie,2055433
41,Wielkopolskie,3473172
84,Podlaskie,1152074
21,Małopolskie,3360545
42,Zachodniopomorskie,1675502
51,Dolnośląskie,2865072
52,Opolskie,946038
71,Łódzkie,2453167
63,Pomorskie,2305077
43,Lubuskie,1003310
81,Lubelskie,2097294
91,Warszawski stołeczny,3053104
