area_id,area_name,population
11,Budapest,1722363
12,Pest,1270416
20,Közép-Dunántúl,1060306
30,Nyugat-Dunántúl,973587
40,Dél-Dunántúl,878402
50,Észak-Magyarország,1125185
60,Észak-Alföld,1439991
70,Dél-Alföld,1230022
