area_id,area_name,unemployment
92,Mazowiecki regionalny,4.5
22,Śląskie,2.4
82,Podkarpackie,5.0
62,Warmińsko-mazurskie,3.3
72,Świętokrzyskie,4.1
61,Kujawsko-pomorskie,3.9
41,Wielkopolskie,2.6
84,Podlaskie,3.0
21,Małopolskie,2.9
42,Zachodniopomorskie,3.1
51,Dolnośląskie,3.3
52,Opolskie,3.2
71,Łódzkie,3.6
63,Pomorskie,2.8
43,Lubuskie,2.0
81,Lubelskie,5.4
91,Warszawski stołeczny,2.1
