area_id,area_name,income
92,Mazowiecki regionalny,19569.99
22,Śląskie,41074.79
82,Podkarpackie,14081.12
62,Warmińsko-mazurskie,10156.83
72,Świętokrzyskie,8691.36
61,Kujawsko-pomorskie,15533.55
41,Wielkopolskie,31831.02
84,Podlaskie,8258.1
21,Małopolskie,28662.04
42,Zachodniopomorskie,13802.59
51,Dolnośląskie,26790.77
52,Opolskie,7297.33
71,Łódzkie,21158.09
63,Pomorskie,20122.63
43,Lubuskie,7525.6
81,Lubelskie,14784.07
91,Warszawski stołeczny,44347.78
