area_id,area_name,income
11,Budapest,23780.92
12,Pest,11979.8
20,Közép-Dunántúl,9824.59
30,Nyugat-Dunántúl,8517.59
40,Dél-Dunántúl,6416.81
50,Észak-Magyarország,7647.26
60,Észak-Alföld,10297.68
70,Dél-Alföld,9665.03
