area_id,area_name,unemployment
11,Budapest,2.5
12,Pest,2.4
20,Közép-Dunántúl,2.0
30,Nyugat-Dunántúl,1.8
40,Dél-Dunántúl,4.8
50,Észak-Magyarország,4.5
60,Észak-Alföld,6.3
70,Dél-Alföld,3.5
