area_id,area_name,population,age_old_dependency_ratio,age_working_population,age_old,code
11110,Jongno-gu,144683,42.14849167822469,92288.0,38898.0,11110
11140,Jung-gu,122499,43.59168290431751,78008.0,34005.0,11140
11170,Yongsan-gu,222953,37.61850899742931,145875.0,54876.0,11170
11200,Seongdong-gu,285990,36.46108435606649,186673.0,68063.0,11200
11215,Gwangjin-gu,339996,33.20141673233631,230954.0,76680.0,11215
11230,Dongdaemun-gu,337400,40.73734935301572,216234.0,88088.0,11230
11260,Jungnang-gu,387350,43.36903929291566,244497.0,106036.0,11260
11290,Seongbuk-gu,430528,38.17287943487693,277037.0,105753.0,11290
11305,Gangbuk-gu,299182,49.65269184444554,181827.0,90282.0,11305
11320,Dobong-gu,317366,48.50390838029449,192535.0,93387.0,11320
11350,Nowon-gu,510956,39.50248050590604,324329.0,128118.0,11350
11380,Eunpyeong-gu,473307,41.60667424699649,299899.0,124778.0,11380
11410,Seodaemun-gu,304819,38.59208109222103,196517.0,75840.0,11410
11440,Mapo-gu,368905,30.887153390633863,252121.0,77873.0,11440
11470,Yangcheon-gu,447302,36.11324255699099,286712.0,103541.0,11470
11500,Gangseo-gu,574315,36.53925446705274,375919.0,137358.0,11500
11530,Guro-gu,396754,41.37559784675111,249855.0,103379.0,11530
11545,Geumcheon-gu,230811,40.18987341772152,151048.0,60706.0,11545
11560,Yeongdeungpo-gu,376837,35.424742474247424,249975.0,88553.0,11560
11590,Dongjak-gu,385483,37.236474673881226,252822.0,94142.0,11590
11620,Gwanak-gu,485699,33.03625833397422,338074.0,111687.0,11620
11650,Seocho-gu,412279,32.49228276402699,266611.0,86628.0,11650
11680,Gangnam-gu,533042,31.469098678483817,353836.0,111349.0,11680
11710,Songpa-gu,658338,34.10578054206413,429285.0,146411.0,11710
11740,Gangdong-gu,462664,38.22579988878189,294916.0,112734.0,11740
26110,Jung-gu,40524,66.5414847161572,22900.0,15238.0,26110
26140,Seo-gu,105164,65.86291544072843,57439.0,37831.0,26140
26170,Dong-gu,87679,65.9151166375501,48655.0,32071.0,26170
26200,Yeongdo-gu,110638,76.32458982129795,57414.0,43821.0,26200
26230,Busanjin-gu,353159,48.646932783112455,214217.0,104210.0,26230
26260,Dongnae-gu,266866,46.35934550031466,158900.0,73665.0,26260
26290,Nam-gu,262069,50.52867836894615,154158.0,77894.0,26290
26320,Buk-gu,283211,48.15088194114925,170703.0,82195.0,26320
26350,Haeundae-gu,396438,44.87612518926474,240404.0,107884.0,26350
26380,Saha-gu,306003,51.23093790491379,180594.0,92520.0,26380
26410,Geumjeong-gu,228049,54.682087006184666,133071.0,72766.0,26410
26440,Gangseo-gu,142918,31.848107620862383,87641.0,27912.0,26440
26470,Yeonje-gu,207144,49.32597690688812,123067.0,60704.0,26470
26500,Suyeong-gu,175095,52.1994838288768,104229.0,54407.0,26500
26530,Sasang-gu,208298,51.479413704889545,124306.0,63992.0,26530
26710,Gijang-gun,177125,39.417239605257,106905.0,42139.0,26710
27110,Jung-gu,74791,43.79774305555556,46080.0,20182.0,27110
27140,Dong-gu,341436,49.69248173415602,202427.0,100591.0,27140
27170,Seo-gu,164528,61.84427369817863,93446.0,57791.0,27170
27200,Nam-gu,143175,57.09352896195756,83696.0,47785.0,27200
27230,Buk-gu,437008,36.27093462992977,281352.0,102049.0,27230
27260,Suseong-gu,417097,38.525625035976745,260585.0,100392.0,27260
27290,Dalseo-gu,544926,38.17525239226489,345593.0,131931.0,27290
27710,Dalseong-gun,262451,33.76583950115058,164699.0,55612.0,27710
28110,Jung-gu,143633,33.718119375965074,93905.0,31663.0,28110
28140,Dong-gu,61486,58.3663622264346,34818.0,20322.0,28140
28177,Michuhol-gu,407464,41.56714943659626,258163.0,107311.0,28177
28185,Yeonsu-gu,389644,26.82012250287778,259749.0,69665.0,28185
28200,Namdong-gu,518272,35.93454208910016,332794.0,119588.0,28200
28237,Bupyeong-gu,486765,38.22504781763201,313169.0,119709.0,28237
28245,Gyeyang-gu,295696,35.94296020741743,195162.0,70147.0,28245
28260,Seo-gu,555380,27.91003554753109,373303.0,104189.0,28260
28710,Ganghwa-gun,69693,102.8646492782983,31592.0,32497.0,28710
28720,Ongjin-gun,20342,77.56330625895843,10465.0,8117.0,28720
29110,Dong-gu,103470,50.46639209493888,61429.0,31001.0,29110
29140,Seo-gu,291231,34.58303838392376,189298.0,65465.0,29140
29155,Nam-gu,215575,42.743496186826384,130731.0,55879.0,29155
29170,Buk-gu,427114,37.19060294458742,271617.0,101016.0,29170
29200,Gwangsan_gu,404221,22.907785262564136,276561.0,63354.0,29200
30110,Dong-gu,222222,47.71990377575568,133854.0,63875.0,30110
30140,Jung-gu,230341,48.123885853418166,137998.0,66410.0,30140
30170,Seo-gu,473365,31.99083096027713,311483.0,99646.0,30170
30200,Yuseong-gu,351277,24.88159207316562,238582.0,59363.0,30200
30230,Daedeok-gu,175046,41.44679695982627,110520.0,45807.0,30230
31110,Jung-gu,212883,42.26958825240786,130614.0,55210.0,31110
31140,Nam-gu,313819,33.19296916359468,205893.0,68342.0,31140
31170,Dong-gu,154096,38.04314605794261,94887.0,36098.0,31170
31200,Buk-gu,218735,23.872521188324704,146189.0,34899.0,31200
31710,Ulju-gun,222059,39.74946004319654,138900.0,55212.0,31710
36110,Sejong_teugbyeoljachi-si,371895,23.779842214760954,242735.0,57722.0,36110
41110,Suwon-si,1183714,27.34510762243286,810240.0,221561.0,41110
41130,Seongnam-si,930948,34.62520080734852,606925.0,210149.0,41130
41150,Uijeongbu-si,463661,37.26477852735858,298389.0,111194.0,41150
41170,Anyang-si,547178,35.26987022097509,356375.0,125693.0,41170
41190,Bucheon-si,806067,37.02115335559464,521383.0,193022.0,41190
41210,Gwangmyeong-si,292893,35.33137804936471,187867.0,66376.0,41210
41220,Pyeongtaek-si,564288,28.439385375727863,380395.0,108182.0,41220
41250,Dongducheon-si,93592,51.43122812135356,54848.0,28209.0,41250
41270,Ansan-si,652726,28.909731509332527,450146.0,130136.0,41270
41280,Goyang-si,1079353,33.63146310132981,709199.0,238514.0,41280
41290,Gwacheon-si,73345,33.1364940104606,47416.0,15712.0,41290
41310,Guri-si,191948,35.47184761165551,123684.0,43873.0,41310
41360,Namyangju-si,733798,34.8332169202201,469592.0,163574.0,41360
41370,Osan-si,229983,23.987540925130897,156994.0,37659.0,41370
41390,Siheung-si,512030,24.660823321975474,352766.0,86995.0,41390
41410,Gunpo-si,268535,35.0093675339036,174539.0,61105.0,41410
41430,Uiwang-si,163356,36.52006371553114,104841.0,38288.0,41430
